date,open,high,low,close,volume
12/30/2019,13.01,13.02,12.79,12.89,8971700
12/31/2019,12.71,12.96,12.69,12.81,11605300
1/2/2020,12.8,12.85,12.7,12.81,12509100
1/3/2020,13.27,13.32,13.03,13.18,34603600
1/6/2020,13.3,13.32,13.12,13.16,20787300
1/7/2020,13.1,13.18,13.01,13.13,13936600
1/8/2020,13.06,13.07,12.39,12.66,55347400
1/9/2020,12.45,12.54,12.29,12.49,27515600
1/10/2020,12.43,12.48,12.34,12.41,16134000
1/13/2020,12.31,12.31,12.16,12.2,22868200
1/14/2020,12.27,12.32,12.2,12.28,18693700
1/15/2020,12.2,12.22,12.05,12.18,15054100
1/16/2020,12.2,12.36,12.2,12.29,15686500
1/17/2020,12.33,12.37,12.24,12.33,17766100
1/21/2020,12.22,12.34,12.21,12.24,13677100
1/22/2020,12.03,12.04,11.88,11.9,25571700
1/23/2020,11.6,11.71,11.5,11.66,30868200
1/24/2020,11.49,11.5,11.31,11.43,24408200
1/27/2020,11.11,11.24,11.02,11.1,25140700
1/28/2020,11.16,11.32,11.11,11.25,24389600
1/29/2020,11.28,11.29,11.09,11.16,21763800
1/30/2020,10.93,11.09,10.85,11.08,29517200
1/31/2020,10.88,10.98,10.7,10.84,32415600
2/3/2020,10.75,10.84,10.48,10.49,40468900
2/4/2020,10.68,10.7,10.4,10.44,41515400
2/5/2020,10.75,10.89,10.59,10.7,40714800
2/6/2020,10.64,10.77,10.55,10.74,25998700
2/7/2020,10.6,10.72,10.54,10.58,20887700
2/10/2020,10.48,10.56,10.38,10.42,22607400
2/11/2020,10.63,10.64,10.45,10.5,24936200
2/12/2020,10.82,10.86,10.71,10.81,31416200
2/13/2020,10.82,10.9,10.75,10.84,28876700
2/14/2020,10.96,10.99,10.84,10.95,24457000
2/18/2020,10.76,10.95,10.75,10.95,21410900
2/19/2020,11.13,11.23,11.02,11.18,25100600
2/20/2020,11.31,11.43,11.25,11.28,27381800
2/21/2020,11.08,11.21,10.99,11.16,27045200
2/24/2020,10.63,10.81,10.55,10.74,37552700
2/25/2020,10.76,10.78,10.4,10.4,33073900
2/26/2020,10.38,10.55,10.11,10.19,39309900
2/27/2020,9.72,9.99,9.6,9.78,49865700
2/28/2020,9.42,9.5,9.17,9.45,43000200
3/2/2020,9.67,9.92,9.54,9.92,41386900
3/3/2020,10,10.18,9.72,9.89,51266000
3/4/2020,10.11,10.13,9.76,9.86,46349700
3/5/2020,9.81,9.85,9.55,9.61,33122600
3/6/2020,9.26,9.27,8.6,8.73,78256400
3/9/2020,6.82,7.3,6.5,6.52,154148500
3/10/2020,7.09,7.33,6.86,7.24,85587000
3/11/2020,7.02,7.09,6.84,6.94,65101500
3/12/2020,6.44,6.8,6.43,6.54,93042600
3/13/2020,6.89,7.13,6.54,6.96,78657700
3/16/2020,6.09,6.38,5.82,6.05,76132900
3/17/2020,6.04,6.15,5.63,5.71,68945200
3/18/2020,5.06,5.18,4.29,4.71,190114000
3/19/2020,4.79,5.67,4.6,5.37,130136000
3/20/2020,5.28,5.37,4.68,4.94,146669300
3/23/2020,4.77,4.9,4.53,4.88,72403100
3/24/2020,5.06,5.07,4.79,4.98,85116100
3/25/2020,4.89,5.16,4.75,5.08,98758900
3/26/2020,4.9,4.96,4.64,4.83,125628000
3/27/2020,4.51,4.53,4.33,4.47,122496400
3/30/2020,4.21,4.28,4.03,4.23,164329400
3/31/2020,4.37,4.37,4.16,4.21,125116200
4/1/2020,4.24,4.38,4.13,4.38,119029200
4/2/2020,4.58,5.67,4.5,5.11,321813800
4/3/2020,5.7,6.02,5.44,5.9,225910600
4/6/2020,5.62,5.71,5.37,5.48,162802200
4/7/2020,5.46,5.53,4.89,5.09,187459800
4/8/2020,5.08,5.4,4.94,5.37,168911600
4/9/2020,5.4,5.78,4.8,4.98,303809200
4/13/2020,4.97,5.07,4.85,4.93,125551100
4/14/2020,4.76,4.8,4.53,4.66,191872000
4/15/2020,4.43,4.47,4.3,4.43,219222000
4/16/2020,4.4,4.41,4.15,4.36,241289900
4/17/2020,4.15,4.26,4.1,4.21,250164600
4/20/2020,3.76,4.05,3.7,3.75,875230600
4/21/2020,3.19,3.4,2.31,2.81,999304100
4/22/2020,2.9,2.94,2.5,2.51,438814200
4/23/2020,2.68,2.87,2.6,2.64,318269500
4/24/2020,2.69,2.73,2.51,2.57,182431200
